al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=102916;otype=table,,dbzprd_mex_oxxo.land_ebs_tran.XXFC_ESTADOS_FINANCIEROS,XXFC ESTADOS FINANCIEROS,"🎯 Propósito de la Tabla: This table contains financial statement data for OXXO stores, including information about the financial statement type, company, business unit, and consolidated financial statements. It appears to be used for tracking and reporting on financial data across OXXO's operations. There don't appear to be any known joins with this table in the catalog. Here are some questions you might be able to answer with this table alone: - What are the different types of financial statements tracked in this table? - How many financial statements are associated with each company, business unit, or consolidated entity? - What is the date range for which financial statement data is available in this table? - Which users or systems are updating the financial statement data in this table?",_,_,_,_,,,,_,_,_,Si
oid=265824;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.ID_UO,Id Uo,Identificador de la unidad operativa relacionada.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265825;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.ID_CONSOLIDADO,Id Consolidado,,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265826;otype=attribute,VARCHAR(100),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.DESCRIPCION,Descripcion,Nombre o descripción completa del estado financiero.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265827;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.ID_CORPORATIVO,Id Corporativo,Identificador del corporativo responsable o asociado.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265828;otype=attribute,TIMESTAMP_NTZ,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.FECHACARGA,Fechacarga,,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265829;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.LAST_UPDATE_DATE,Last Update Date,Fecha/hora de la última actualización (similar a LAST_UPDATED_DATE).,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265830;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.LAST_UPDATED_LOGIN,Last Updated Login,Identificador de la sesión/login de la última actualización.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265831;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.FLEX_VALUE_ID,Flex Value Id,Identificador del valor flexible asociado (FlexField de Oracle).,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265832;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.LAST_UPDATED_BY,Last Updated By,Identificador del usuario que realizó la última actualización.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265833;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.CREATED_BY,Created By,Identificador del usuario que creó el registro.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265834;otype=attribute,VARCHAR(240),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.ORACLE_EF,Oracle Ef,Código del estado financiero en Oracle EBS.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265835;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.ID_NEGOCIO,Id Negocio,Identificador del negocio/unidad de negocio asociado.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265836;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.CREATION_DATE,Creation Date,Fecha de creación del registro.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265837;otype=attribute,VARCHAR(240),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.ID_ESTADO_FINANCIERO,Id Estado Financiero,Identificador único del estado financiero dentro de la tabla.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265838;otype=attribute,VARCHAR(2),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.LEGACY_EF,Legacy Ef,Código del estado financiero en el sistema heredado (Legacy).,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265839;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.XC_ID_COMPANIA,Xc Id Compania,Identificador de la compañía asociada al estado financiero.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=265840;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_ESTADOS_FINANCIEROS.LAST_UPDATED_DATE,Last Updated Date,Fecha y hora de la última modificación del registro.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
