al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=102950;otype=table,,dbzprd_mex_oxxo.land_ebs_tran.XXFC_CENTROS_RESPONSABILIDAD,XXFC CENTROS RESPONSABILIDAD,"🎯 Propósito de la Tabla: La tabla XXFC_CENTROS_RESPONSABILIDAD contiene información sobre los centros de responsabilidad de FEMSA, que son unidades organizativas utilizadas para fines de planificación, control y reporte financiero. There don't appear to be any known joins with this table in the catalog. Here are some questions you might be able to answer with this table alone: - ¿Cuáles son los diferentes tipos de centros de responsabilidad (por ejemplo, plazas, distritos, asesores) y cómo se relacionan entre sí? - ¿Cómo se asignan los centros de responsabilidad a diferentes niveles jerárquicos (por ejemplo, centro de responsabilidad superior, zona operativa)? - ¿Cuándo se crearon o actualizaron por última vez los centros de responsabilidad y quién realizó los cambios? - ¿Qué información adicional se almacena sobre los centros de responsabilidad, como estado, descripción o identificadores heredados?",_,_,_,_,,,,_,_,_,Si
oid=267913;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.FECHA_VIGENCIA_BI,Fecha de vigencia para BI,Fecha de vigencia para BI,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267914;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.LAST_UPDATED_LOGIN,Identificador del login de la última actualización,Identificador del login de la última actualización,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267915;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.LAST_UPDATED_DATE,Fecha y hora de la última modificación del registro,Fecha y hora de la última modificación del registro,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267916;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ID_ZONA_PRE,Identificador de la zona PRE,Identificador de la zona PRE,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267917;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.VALIDO_BI,Indicador de validez para Business Intelligence,Indicador de validez para Business Intelligence,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267918;otype=attribute,TIMESTAMP_NTZ,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.FECHACARGA,Fecha carga,Indicador de la fecha de carga,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267919;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.MEGAPLAZA,Indicador si el CR pertenece a una megaplaza,Indicador si el CR pertenece a una megaplaza,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267920;otype=attribute,VARCHAR(50),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.RETEK_ASESOR_NOMBRE,Nombre del asesor asociado en Retek,Nombre del asesor asociado en Retek,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267921;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ESTADO,Estado del CR,Estado del CR,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
