al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=105602;otype=table,,dbzprd_mex_oxxo.land_ebs_cat.XXFC_COMPANIAS,XXFC COMPANIAS,"🎯 Propósito de la Tabla: La tabla XXFC_COMPANIAS contiene información sobre las compañías de FEMSA Proximidad &amp; Salud, incluyendo su descripción, país, identificadores y fechas de creación y actualización. There don't appear to be any known joins with this table in the catalog. Here are some questions you might be able to answer with this table alone: - ¿Cuántas compañías hay registradas en la tabla? - ¿Cuáles son los países donde operan las compañías? - ¿Cuándo se creó o actualizó por última vez el registro de una compañía en particular? - ¿Qué usuarios han creado o actualizado los registros de compañías?",_,_,_,_,,,,_,_,_,Si
oid=331543;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.CREATED_BY,Created By,Identificador del usuario que creó el registro.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331544;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.LAST_UPDATED_DATE,Last Updated Date,Fecha y hora de la última modificación del registro.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331545;otype=attribute,TIMESTAMP_NTZ,2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.FECHACARGA,Fechacarga,Indica la fecha que fueron cargados los datos,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331546;otype=attribute,VARCHAR(240),2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.ORACLE_CIA,Oracle Cia,Código de la compañía dentro de Oracle EBS.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331547;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.LAST_UPDATED_LOGIN,Last Updated Login,Identificador de la sesión o login desde el cual se hizo la última actualización.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331548;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.LAST_UPDATED_BY,Last Updated By,Identificador del usuario que realizó la última actualización.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331549;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.LAST_UPDATE_DATE,Last Update Date,Fecha/hora de la última actualización (similar a LAST_UPDATED_DATE en algunos modelos).,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331550;otype=attribute,VARCHAR(30),2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.PAIS,Pais,País al que pertenece la compañía.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331551;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.FLEX_VALUE_ID,Flex Value Id,Identificador del valor flexible asociado (FlexField de Oracle).,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331552;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.CREATION_DATE,Creation Date,Fecha de creación del registro.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331553;otype=attribute,VARCHAR(100),2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.DESCRIPCION,Descripcion,Nombre o descripción completa de la compañía.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331554;otype=attribute,"NUMBER(2,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.LEGACY_SA,Legacy Sa,Código de la compañía en un sistema heredado (Legacy).,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331555;otype=attribute,VARCHAR(30),2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.ORACLE_CR,Oracle Cr,Código del centro de responsabilidad asociado a la compañía en Oracle.,Si,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=331556;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_CAT.XXFC_COMPANIAS.ID_COMPANIA,Id Compania,Identificador único de la compañía dentro de la tabla.,No,No,🟠 Restringida,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
