al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=255478;otype=table,,dbzprd_mex_oxxo.interact_exop_analiticosop.AH_TURNO_VTA_COMPUESTA_SINIVA_V3,AH Turno Venta Compuesta Sin IVA V3,,_,_,_,_,,,,_,_,_,Si
oid=3251919;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.07:00 a.m._SUM_VENTACOMPUESTA,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251920;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.12:00 p.m._SUM_VENTACOMPUESTA,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251921;otype=attribute,"NUMBER(21,6)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.AH03am,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251923;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.12:00 a.m._SUM_VENTACOMPUESTA,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251924;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.VENTASINIMPUESTO,Venta Sin Impuesto,,Si,No,_,,_,_,_,_,_,_,_
oid=3251930;otype=attribute,VARCHAR(50),2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.NEGOCIO,Negocio,,Si,No,_,,_,_,_,_,_,_,_
oid=3251936;otype=attribute,"NUMBER(21,6)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.AH03pm,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251939;otype=attribute,"NUMBER(21,6)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.AH10am,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251942;otype=attribute,"NUMBER(38,12)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.MEDULAR,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251952;otype=attribute,"NUMBER(34,12)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.TURNO1,Turno 1,,Si,No,_,,_,_,_,_,_,_,_
oid=3251953;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.05:00 a.m._SUM_VENTACOMPUESTA,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251954;otype=attribute,"NUMBER(34,12)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.TURNO2,Turno 2,,Si,No,_,,_,_,_,_,_,_,_
oid=3251956;otype=attribute,"NUMBER(21,6)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.AH04pm,,,Si,No,_,,_,_,_,_,_,_,_
oid=3251959;otype=attribute,VARCHAR(50),2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.PLAZA,Plaza,,Si,No,_,,_,_,_,_,_,_,_
oid=3251963;otype=attribute,"NUMBER(38,0)",2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.Hora Cierre,Hora Cierre,,Si,No,_,,_,_,_,_,_,_,_
oid=3251964;otype=attribute,VARCHAR(5),2.DBZPRD_MEX_OXXO.INTERACT_EXOP_ANALITICOSOP.AH_TURNO_VTA_COMPUESTA_SINIVA_V3.CR_TIENDA,Cr Tienda,,Si,No,_,,_,_,_,_,_,_,_
