al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=258191;otype=table,,dbzprd_mex_oxxo.land_adls_tran.ENCUESTA_CONECTA,ENCUESTA CONECTA,🎯 Propósito de la Tabla: Tabla de consumo que tiene la información de las encuestas Conecta. 🗓️ Frecuencia de Actualización: Diariamente a las 11:15 PM. ⏱️ Lógica de Actualización: Trigger : TR_333_ENUCESTA_CONECTA Pipeline: PL_333_ENCUESTASCONECTA,_,_,_,_,,,,_,_,_,Si
oid=3316424;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.USUARIO_DES,Usuario Descripción,Nombre completo del usuario que esta respondiendo la encuesta.,Si,No,🔴 Confidencial,,jorge.maya@oxxo.com,_,_,🔴 Confidencial,Replicado,_,_
oid=3316425;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIPOENCUESTA_ID,Tipo Encuesta Id,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316426;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.PREGUNTAFICTICIA,Pregunta Ficticia,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316427;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.RESPUESTA,Respuesta,"Respuesta que dio el usuario a la ""PREGUNTA_DES"".",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316428;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.SUBPERIODO_ID,Sub Periodo Identifier,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316429;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ENCUESTA_ID,Encuesta Id,Identificador de la encuesta que se está respondiendo en dicha ejecución.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316430;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.LONGITUD_NUM,Longitud Número,"Longitud fisica de la tienda, para poder localizarla en el mapa. Este dato siempre es negativo, y el dato constamente se está actualizando del lado del proveedor con base a las visitas que se realizan diariamente a las tiendas.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316431;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TERMINO,Término,Combinación de fecha y hora en la que se termina la encuesta.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316432;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.DETALLERUTA_ID,Detalle Ruta Identifier,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
