al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=260039;otype=table,,dbzprd_mex_oxxo.land_adls_tran.ENCUESTA_CONECTA_HIST,ENCUESTA_CONECTA_HIST,🎯 Propósito de la Tabla: Tabla de consumo que tiene el histórico de la información de las encuestas Conecta. Contiene historia de 2026 en adelante con carga incremental. 🗓️ Frecuencia de Actualización: Diariamente a las 11:15 PM. ⏱️ Lógica de Actualización: Trigger : TR_333_ENUCESTA_CONECTA Pipeline: PL_333_ENCUESTASCONECTA,_,_,_,_,,,,_,_,_,Si
oid=3354004;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.ESCALA_DES,Escala Descripción,,Si,No,_,,_,_,_,_,_,_,_
oid=3354006;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.PREGUNTA_DES,,,Si,No,_,,_,_,_,_,_,_,_
oid=3354008;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.RETECK_ID,Reteck Identifier,,Si,No,_,,_,_,_,_,_,_,_
oid=3354009;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.CR_PLAZA,Cr Plaza,,Si,No,_,,_,_,_,_,_,_,_
oid=3354011;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.HORAINICIO,Hora Inicio,,Si,No,_,,_,_,_,_,_,_,_
oid=3354012;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.IMAGENEVIDENCIA,Imagen Evidencia,,Si,No,_,,_,_,_,_,_,_,_
oid=3354014;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.PLAZA_ID,,,Si,No,_,,_,_,_,_,_,_,_
oid=3354015;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.EJECUCION_NUM,,,Si,No,_,,_,_,_,_,_,_,_
oid=3354016;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA_HIST.DETALLERUTA_ID,Detalle Ruta Identifier,,Si,No,_,,_,_,_,_,_,_,_
